Age_Range,Sex,Year,Num_Debtors,Outstanding_Debt
0-19,Female,2005,"30,946","167,160,519"
0-19,Male,2005,"21,853","129,448,272"
20-29,Female,2005,"388,953","4,720,592,229"
20-29,Male,2005,"283,501","3,723,392,793"
30-39,Female,2005,"176,622","1,430,828,483"
30-39,Male,2005,"124,263","1,165,464,283"
40-49,Female,2005,"63,617","421,142,508"
40-49,Male,2005,"36,729","270,781,030"
50-59,Female,2005,"27,695","173,539,513"
50-59,Male,2005,"15,386","105,293,733"
60-69,Female,2005,"7,507","43,360,762"
60-69,Male,2005,"3,856","24,540,753"
70+,Female,2005,"2,124","10,365,071"
70+,Male,2005,"1,043","5,793,811"
Unknown,Female,2005,406,"1,359,737"
Unknown,Male,2005,421,"1,596,307"
0-19,Female,2006,"32,953","197,052,877"
0-19,Male,2006,"22,688","149,876,623"
20-29,Female,2006,"405,581","5,287,713,843"
20-29,Male,2006,"294,480","4,160,872,836"
30-39,Female,2006,"188,096","1,650,234,368"
30-39,Male,2006,"129,909","1,321,477,232"
40-49,Female,2006,"68,759","486,587,725"
40-49,Male,2006,"39,472","313,523,916"
50-59,Female,2006,"30,164","202,792,910"
50-59,Male,2006,"16,836","123,203,372"
60-69,Female,2006,"8,886","54,999,617"
60-69,Male,2006,"4,676","32,221,284"
70+,Female,2006,"2,449","12,593,054"
70+,Male,2006,"1,243","7,235,277"
Unknown,Female,2006,405,"1,407,516"
Unknown,Male,2006,421,"1,655,971"
0-19,Female,2007,"34,814","222,962,900"
0-19,Male,2007,"24,246","171,717,442"
20-29,Female,2007,"422,713","5,922,784,598"
20-29,Male,2007,"305,449","4,638,794,227"
30-39,Female,2007,"200,341","1,903,687,148"
30-39,Male,2007,"135,599","1,499,945,870"
40-49,Female,2007,"74,756","565,046,515"
40-49,Male,2007,"42,824","365,660,013"
50-59,Female,2007,"33,102","237,235,556"
50-59,Male,2007,"18,424","143,053,825"
60-69,Female,2007,"10,210","67,077,913"
60-69,Male,2007,"5,568","40,740,139"
70+,Female,2007,"2,814","15,317,140"
70+,Male,2007,"1,464","8,842,963"
Unknown,Female,2007,405,"1,453,076"
Unknown,Male,2007,420,"1,701,752"
0-19,Female,2008,"34,934","237,643,413"
0-19,Male,2008,"24,926","189,637,472"
20-29,Female,2008,"436,042","6,552,413,633"
20-29,Male,2008,"313,677","5,121,695,703"
30-39,Female,2008,"213,116","2,266,688,273"
30-39,Male,2008,"141,795","1,755,543,720"
40-49,Female,2008,"81,759","661,769,386"
40-49,Male,2008,"46,542","428,839,389"
50-59,Female,2008,"35,690","275,931,739"
50-59,Male,2008,"19,607","164,473,917"
60-69,Female,2008,"11,610","81,790,505"
60-69,Male,2008,"6,445","51,296,292"
70+,Female,2008,"3,250","18,780,092"
70+,Male,2008,"1,693","10,864,416"
Unknown,Female,2008,405,"1,512,752"
Unknown,Male,2008,421,"1,771,279"
0-19,Female,2009,"37,480","241,265,712"
0-19,Male,2009,"26,570","188,813,864"
20-29,Female,2009,"455,328","7,174,481,610"
20-29,Male,2009,"327,438","5,641,067,080"
30-39,Female,2009,"229,882","2,641,447,343"
30-39,Male,2009,"151,067","2,023,547,493"
40-49,Female,2009,"92,434","783,525,331"
40-49,Male,2009,"52,833","507,624,858"
50-59,Female,2009,"39,306","314,255,470"
50-59,Male,2009,"21,635","186,902,669"
60-69,Female,2009,"13,572","99,282,593"
60-69,Male,2009,"7,551","62,902,963"
70+,Female,2009,"3,814","22,872,749"
70+,Male,2009,"2,020","13,819,604"
Unknown,Female,2009,412,"1,553,176"
Unknown,Male,2009,430,"1,822,948"
0-19,Female,2010,"41,773","276,006,502"
0-19,Male,2010,"29,400","208,269,438"
20-29,Female,2010,"481,368","7,970,574,077"
20-29,Male,2010,"345,102","6,306,785,255"
30-39,Female,2010,"246,941","3,081,799,427"
30-39,Male,2010,"159,560","2,329,875,253"
40-49,Female,2010,"105,608","954,798,138"
40-49,Male,2010,"59,217","615,271,863"
50-59,Female,2010,"43,087","364,769,639"
50-59,Male,2010,"23,534","217,474,938"
60-69,Female,2010,"15,260","120,439,385"
60-69,Male,2010,"8,615","77,013,450"
70+,Female,2010,"4,442","28,409,453"
70+,Male,2010,"2,362","17,576,583"
Unknown,Female,2010,407,"1,592,803"
Unknown,Male,2010,424,"1,895,192"
0-19,Female,2011,"45,544","320,715,597"
0-19,Male,2011,"31,411","235,875,681"
20-29,Female,2011,"510,200","8,877,296,462"
20-29,Male,2011,"364,526","7,040,183,024"
30-39,Female,2011,"264,799","3,553,478,246"
30-39,Male,2011,"168,248","2,638,958,784"
40-49,Female,2011,"120,300","1,154,456,825"
40-49,Male,2011,"66,080","727,747,747"
50-59,Female,2011,"47,769","428,121,036"
50-59,Male,2011,"25,851","255,008,901"
60-69,Female,2011,"17,212","144,580,463"
60-69,Male,2011,"9,870","92,100,737"
70+,Female,2011,"5,217","35,716,288"
70+,Male,2011,"2,841","22,847,388"
Unknown,Female,2011,408,"1,661,157"
Unknown,Male,2011,424,1964002
0-19,Female,2012,"51,002","380,548,198"
0-19,Male,2012,"35,302","275,296,609"
20-29,Female,2012,"546,671","9,981,879,123"
20-29,Male,2012,"391,245","7,923,322,000"
30-39,Female,2012,"286,564","4,072,215,448"
30-39,Male,2012,"179,069","2,960,631,951"
40-49,Female,2012,"136,476","1,379,802,569"
40-49,Male,2012,"73,115","853,825,398"
50-59,Female,2012,"53,970","505,649,317"
50-59,Male,2012,"28,714","293,554,403"
60-69,Female,2012,"19,524","171,942,000"
60-69,Male,2012,"11,441","111,806,057"
70+,Female,2012,"6,045","43,809,633"
70+,Male,2012,"3,313","27,748,858"
Unknown,Female,2012,410,"1,721,482"
Unknown,Male,2012,428,"2,026,081"
0-19,Female,2013,"57,049","485,404,963"
0-19,Male,2013,"40,174","359,099,879"
20-29,Female,2013,"594,704","11,573,226,062"
20-29,Male,2013,"427,232","9,177,879,303"
30-39,Female,2013,"310,671","4,719,807,517"
30-39,Male,2013,"191,115","3,389,278,056"
40-49,Female,2013,"154,285","1,680,242,692"
40-49,Male,2013,"81,297","1,019,707,325"
50-59,Female,2013,"61,620","617,586,881"
50-59,Male,2013,"32,242","350,698,872"
60-69,Female,2013,"22,320","209,574,775"
60-69,Male,2013,"13,203","137,148,899"
70+,Female,2013,"7,200","55,978,157"
70+,Male,2013,"4,022","36,206,551"
Unknown,Female,2013,412,"1,794,176"
Unknown,Male,2013,427,"2,085,537"
0-19,Female,2014,"62,899","589,008,755"
0-19,Male,2014,"43,876","426,528,703"
20-29,Female,2014,"655,309","13,635,750,262"
20-29,Male,2014,"472,181","10,748,164,287"
30-39,Female,2014,"343,669","5,609,106,630"
30-39,Male,2014,"208,820","3,977,829,938"
40-49,Female,2014,"177,658","2,117,978,541"
40-49,Male,2014,"92,446","1,254,233,131"
50-59,Female,2014,"72,179","799,413,439"
50-59,Male,2014,"37,581","447,591,257"
60-69,Female,2014,"26,223","270,514,562"
60-69,Male,2014,"15,671","176,346,290"
70+,Female,2014,"8,726","75,164,776"
70+,Male,2014,"4,960","50,037,302"
Unknown,Female,2014,415,"1,885,106"
Unknown,Male,2014,428,"2,148,265"
0-19,Female,2015,"67,040","672,694,826"
0-19,Male,2015,"46,334","478,316,122"
20-29,Female,2015,"718,022","15,976,336,906"
20-29,Male,2015,"519,424","12,477,436,970"
30-39,Female,2015,"381,103","6,773,485,069"
30-39,Male,2015,"230,091","4,727,676,112"
40-49,Female,2015,"204,303","2,735,502,356"
40-49,Male,2015,"105,623","1,584,146,803"
50-59,Female,2015,"85,136","1,078,248,236"
50-59,Male,2015,"44,685","611,859,251"
60-69,Female,2015,"30,849","358,802,503"
60-69,Male,2015,"18,902","239,422,979"
70+,Female,2015,"10,434","99,197,961"
70+,Male,2015,"6,147","69,246,182"
Unknown,Female,2015,416,"1,958,282"
Unknown,Male,2015,430,"2,208,457"
0-19,Female,2016,"64,388","622,191,522"
0-19,Male,2016,"44,469","445,957,881"
